Category,Podcast Name,Future,Transcript_Only,Exclude,Notes
Tech & Business,"The AI Revolution with Alex Kantrowitz",1,1,0,Interviews with AI researchers, likely to have transcripts
Tech & Business,"The Batch with Andrew Ng",1,1,0,Deep learning updates, educational content with transcripts
Tech & Business,"Lex Fridman Podcast",1,1,0,Long-form AI interviews, often has transcripts
Tech & Business,"Huberman Lab",1,1,0,Science podcast with show notes/transcripts
Tech & Business,"Peter Attia Drive",1,1,0,Health/longevity with detailed show notes
Tech & Business,"a16z Podcast",1,1,0,Venture capital with transcripts
Tech & Business,"Acquired",1,1,0,Business deep dives with transcripts
Tech & Business,"How I Built This with Guy Raz",1,1,0,Entrepreneurship stories with transcripts
Tech & Business,"The Tim Ferriss Show",1,1,0,Long-form interviews with transcripts
Tech & Business,"Y Combinator Podcast",1,1,0,Startup content with transcripts
Tech & Business,"The All-In Podcast",1,1,0,Tech/VC discussions with transcripts
Tech & Business,"The Prof G Pod with Scott Galloway",1,1,0,Business analysis with transcripts
Tech & Business,"Pivot with Kara Swisher and Scott Galloway",1,1,0,Tech news with transcripts
Science & Medicine,"Ologies with Alie Ward",1,1,0,Science interviews with transcripts
Science & Medicine,"Science Vs",1,1,0,Science myths vs facts with transcripts
Science & Medicine,"The Science of Everything",1,1,0,Deep science topics with transcripts
Science & Medicine,"The Lancet Voice",1,1,0,Medical research with transcripts
Science & Medicine,"Nature Podcast",1,1,0,Science journal with transcripts
Science & Medicine,"Science Magazine Podcast",1,1,0,Science news with transcripts
Science & Medicine,"The Guardian Science Weekly",1,1,0,Science discussions with transcripts
News & Politics,"The Daily",1,1,0,NYT daily news with transcripts
News & Politics,"The Journal",1,1,0,WSJ daily news with transcripts
News & Politics,"Today in Focus",1,1,0,The Guardian daily news with transcripts
News & Politics,"The Sunday Times",1,1,0,UK news analysis with transcripts
News & Politics,"538 Politics",1,1,0,Political analysis with transcripts
News & Politics,"The Weeds",1,1,0,Policy deep dives with transcripts
News & Politics,"The Briefing",1,1,0,ABC news analysis with transcripts
Culture & Entertainment,"The New Yorker Radio Hour",1,1,0,Cultural commentary with transcripts
Culture & Entertainment,"The Daily Beast",1,1,0,Cultural analysis with transcripts
Culture & Entertainment,"Vulture TV Podcast",1,1,0,TV analysis with transcripts
Culture & Entertainment,"The Gist",1,1,0,Cultural commentary with transcripts
Culture & Entertainment,"Pop Culture Happy Hour",1,1,0,Cultural discussions with transcripts
Culture & Entertainment,"The Ezra Klein Show",1,1,0,Cultural/political interviews with transcripts
Education,"The EdSurge Podcast",1,1,0,Education technology with transcripts
Education,"The Harvard EdCast",1,1,0,Education research with transcripts
Education,"The EdNext Podcast",1,1,0,Education policy with transcripts
Education,"TeachLab",1,1,0,Teaching practice with transcripts
Education,"Cult of Pedagogy",1,1,0,Teaching strategies with transcripts
Education,"The Education Gadfly Show",1,1,0,Education policy with transcripts
Finance & Economics,"Planet Money",1,1,0,Economics explained with transcripts
Finance & Economics,"The Indicator from Planet Money",1,1,0,Daily economics with transcripts
Finance & Economics,"Freakonomics Radio",1,1,0,Economics analysis with transcripts
Finance & Economics,"Capitalisn't",1,1,0,Economics discussions with transcripts
Finance & Economics,"The Economics Show",1,1,0,Economics interviews with transcripts
Finance & Economics,"Masters in Business",1,1,0,Business interviews with transcripts
Tech & Business,"Software Engineering Daily",1,1,0,Tech interviews with transcripts
Tech & Business,"The Changelog",1,1,0,Open source tech with transcripts
Tech & Business,"Syntax FM",1,1,0,Web development with transcripts
Tech & Business,"The Bike Shed",1,1,0,Software development with transcripts
Tech & Business,"Founders Talk",1,1,0,Founder interviews with transcripts
Tech & Business,"The SaaS Podcast",1,1,0,SaaS business with transcripts
Tech & Business,"The Bootstrapped Founder",1,1,0,Bootstrapping with transcripts
Science & Medicine,"The Psychology Podcast",1,1,0,Psychology topics with transcripts
Science & Medicine,"The Minimalists Podcast",1,1,0,Lifestyle design with transcripts
Science & Medicine,"The Model Health Show",1,1,0,Health optimization with transcripts
Science & Medicine,"The Doctor's Farmacy",1,1,0,Functional medicine with transcripts
Science & Medicine,"The Mindset Mentor",1,1,0,Mindset and motivation with transcripts
News & Politics,"The Argument",1,1,0,Political debates with transcripts
News & Politics,"The Axe Files",1,1,0,Political interviews with transcripts
News & Politics,"The Circus",1,1,0,Political analysis with transcripts
News & Politics,"The Weekly Dish",1,1,0,Political commentary with transcripts
